dataset,model,hidden_channels,lr,epochs,num_centers,AUC,AP
squirrel,LinkWIRE,1024,0.0001,1000,10,96.72388807010934,97.42818704442608
texas,LinkWIRE,1024,0.0001,200,10,92.34375,93.62539423625812
texas,LinkWIRE,1024,0.0001,200,30,92.40234375,93.79841527542057
wisconsin,LinkWIRE,1024,0.0001,200,30,91.84928873510188,93.05890383357467
wisconsin,LinkWIRE,512,0.0001,200,30,90.5767012687428,91.6845413289237
wisconsin,LinkWIRE,1024,0.0001,200,10,91.5032679738562,92.25086268200828
wisconsin,LinkWIRE,512,0.0001,200,10,91.17262591311032,91.9991456621798
cornell,LinkWIRE,1024,0.0001,200,30,92.20570749108204,92.94088060208784
cornell,LinkWIRE,1024,0.0001,200,8,92.00356718192626,92.64452412220064
cornell,LinkWIRE,1024,0.0001,500,30,92.21759809750296,93.1782521493058
chamaleon,LinkWIRE,1024,0.0008,100,300,98.10774664098648,98.19071272349382
chamaleon,LinkWIRE,1024,0.0005,100,5,98.12838951512036,98.21092216200704
chamaleon,LinkWIRE,1024,0.0006,100,500,98.11631855188342,98.16903936154408
chamaleon,LinkWIRE,1024,0.0006,100,900,98.09126234451853,98.1408583549131
cornell,LinkWIRE,1024,0.0005,200,8,91.5279429250892,92.45513496798604
cornell,LinkWIRE,1024,0.0007,200,8,90.43400713436384,91.1120821620975
cornell,LinkWIRE,1024,0.0001,200,10,91.25445897740786,92.39507259864196
cornell,LinkWIRE,1024,0.0005,200,10,90.410225921522,91.6388906294374
cornell,LinkWIRE,1024,0.0007,200,10,89.14982164090371,90.50648163188124
cornell,LinkWIRE,1024,0.0001,200,20,92.58620689655172,93.24724458323202
cornell,LinkWIRE,1024,0.0005,200,20,91.8014268727705,92.646367159218
cornell,LinkWIRE,1024,0.0007,200,20,90.26753864447087,91.28751785384571
cornell,LinkWIRE,1024,0.0005,200,30,91.44470868014268,92.44562765548436
cornell,LinkWIRE,1024,0.0007,200,30,89.43519619500594,90.97714414990816
cornell,LinkWIRE,1024,0.0001,200,40,91.0166468489893,91.90354444702396
cornell,LinkWIRE,1024,0.0005,200,40,89.76813317479191,90.79081021033988
cornell,LinkWIRE,1024,0.0007,200,40,88.31747919143875,89.23369088604305
cornell,LinkWIRE,512,0.0001,200,8,90.17241379310346,91.174051751977
cornell,LinkWIRE,512,0.0005,200,8,89.4589774078478,90.90130255858428
cornell,LinkWIRE,512,0.0007,200,8,89.30439952437574,90.08409069457504
cornell,LinkWIRE,512,0.0001,200,10,90.10107015457788,90.716792976198
cornell,LinkWIRE,512,0.0005,200,10,89.72057074910819,90.64729006882172
cornell,LinkWIRE,512,0.0007,200,10,89.36385255648037,90.17225822561494
cornell,LinkWIRE,512,0.0001,200,20,89.72057074910819,91.52387935926252
cornell,LinkWIRE,512,0.0005,200,20,89.67300832342448,91.23568755761072
cornell,LinkWIRE,512,0.0007,200,20,89.57788347205708,90.88973361066088
cornell,LinkWIRE,512,0.0001,200,30,88.68608799048752,90.11963209690462
cornell,LinkWIRE,512,0.0005,200,30,88.73365041617122,90.23184510813958
cornell,LinkWIRE,512,0.0007,200,30,88.2461355529132,89.95569849000947
cornell,LinkWIRE,512,0.0001,200,40,90.26753864447086,91.2508274848716
cornell,LinkWIRE,512,0.0005,200,40,90.10107015457788,91.11445346152296
cornell,LinkWIRE,512,0.0007,200,40,89.88703923900118,90.86260997173342
cornell,LinkWIRE,1024,0.0001,100,8,91.95600475624258,92.64489700248596
cornell,LinkWIRE,1024,0.0003,100,8,91.86087990487516,92.75373699045826
cornell,LinkWIRE,1024,0.0005,100,8,91.68252080856124,92.70695633002832
cornell,LinkWIRE,1024,0.0001,100,30,92.26516052318668,93.2614018691804
cornell,LinkWIRE,1024,0.0003,100,30,91.73008323424496,92.6137376201432
cornell,LinkWIRE,1024,0.0001,100,35,92.00356718192629,92.52778629789891
cornell,LinkWIRE,1024,0.0001,100,20,92.56242568370988,93.23849487401256
cornell,LinkWIRE,1024,0.0001,100,40,90.99286563614746,91.96077058556163
cornell,LinkWIRE,1024,0.0008,100,30,89.73246135552913,90.27630909796626
wisconsin,LinkWIRE,1024,0.0001,100,30,91.7916186082276,92.95553383392291
wisconsin,LinkWIRE,1024,9e-05,200,30,91.81853133410227,93.02531395865756
wisconsin,LinkWIRE,1024,8e-05,200,30,91.83775470972704,93.05723938647552
wisconsin,LinkWIRE,1024,5e-05,200,30,91.94925028835064,93.1449899999018
wisconsin,LinkWIRE,1024,1e-05,200,30,92.06843521722416,93.01913730949614
chamaleon,LinkWIRE,1024,0.0001,200,5,98.0910789512051,98.14760520636409
